	ASF356	ASF360	ASF361	ASF457	ASF492	ASF500	ASF502	ASF519
J	0.0423728813559	0.0762711864407	0.101694915254	0.228813559322	0.0677966101695	0.0677966101695	0.0932203389831	0.322033898305
K	0.078431372549	0.0745098039216	0.0647058823529	0.0549019607843	0.166666666667	0.0980392156863	0.182352941176	0.280392156863
L	0.078125	0.046875	0.078125	0.1015625	0.263020833333	0.0963541666667	0.151041666667	0.184895833333
D	0.0555555555556	0.111111111111	0.0277777777778	0.111111111111	0.222222222222	0.0555555555556	0.222222222222	0.194444444444
V	0.0612244897959	0.0816326530612	0.0748299319728	0.142857142857	0.149659863946	0.0816326530612	0.176870748299	0.231292517007
T	0.0394265232975	0.0250896057348	0.0573476702509	0.118279569892	0.164874551971	0.078853046595	0.146953405018	0.36917562724
M	0.0569476082005	0.0523917995444	0.0410022779043	0.141230068337	0.191343963554	0.0546697038724	0.118451025057	0.343963553531
N	0.0392156862745	0.0392156862745	0.0196078431373	0.313725490196	0.274509803922	0.0980392156863	0.0980392156863	0.117647058824
U	0.0375	0.0375	0.025	0.375	0.0625	0.125	0.0875	0.25
O	0.0671140939597	0.0402684563758	0.0738255033557	0.194630872483	0.134228187919	0.0335570469799	0.114093959732	0.342281879195
C	0.0787037037037	0.0509259259259	0.0277777777778	0.236111111111	0.115740740741	0.0833333333333	0.171296296296	0.236111111111
G	0.0718562874251	0.0538922155689	0.0958083832335	0.0568862275449	0.110778443114	0.0718562874251	0.230538922156	0.308383233533
E	0.0825242718447	0.0388349514563	0.0533980582524	0.106796116505	0.126213592233	0.0776699029126	0.23786407767	0.276699029126
F	0.013698630137	0.0821917808219	0.13698630137	0.0547945205479	0.164383561644	0.027397260274	0.232876712329	0.287671232877
H	0.03	0.04	0.03	0.26	0.11	0.06	0.09	0.38
I	0.041095890411	0.0821917808219	0.0821917808219	0.123287671233	0.246575342466	0.123287671233	0.0821917808219	0.219178082192
P	0.0322580645161	0.0685483870968	0.0806451612903	0.112903225806	0.0846774193548	0.0443548387097	0.112903225806	0.463709677419
Q	0.0816326530612	0.0	0.183673469388	0.0816326530612	0.183673469388	0.0816326530612	0.122448979592	0.265306122449
S	0.083395107487	0.051704966642	0.0496664195701	0.0841363973314	0.18828762046	0.121200889548	0.147702001483	0.27390659748
