	ASF356	ASF360	ASF361	ASF457	ASF492	ASF500	ASF502	ASF519
J	5	9	12	27	8	8	11	38
K	40	38	33	28	85	50	93	143
L	30	18	30	39	101	37	58	71
D	2	4	1	4	8	2	8	7
V	9	12	11	21	22	12	26	34
T	11	7	16	33	46	22	41	103
M	25	23	18	62	84	24	52	151
N	2	2	1	16	14	5	5	6
U	3	3	2	30	5	10	7	20
O	10	6	11	29	20	5	17	51
C	17	11	6	51	25	18	37	51
G	24	18	32	19	37	24	77	103
E	17	8	11	22	26	16	49	57
F	1	6	10	4	12	2	17	21
H	3	4	3	26	11	6	9	38
I	3	6	6	9	18	9	6	16
P	8	17	20	28	21	11	28	115
Q	4	0	9	4	9	4	6	13
S	450	279	268	454	1016	654	797	1478
