	0
ENOG4106ZDS	3
ENOG4107UED	4
ENOG4107MDM	1
ENOG4106NXZ	4
ENOG4106GDP	3
ENOG41068X9	5
ENOG41068X8	2
ENOG41069UX	8
ENOG41068X3	15
ENOG41068X2	5
ENOG41068X1	9
ENOG41068X0	7
ENOG41068X7	2
ENOG41086VG	14
ENOG41068X5	3
ENOG41068X4	3
ENOG4107ZE1	11
ENOG4106J8H	4
ENOG4107ZE3	15
ENOG4108F97	3
ENOG4107ZE5	1
ENOG4107ZE4	2
ENOG4107ZE6	3
ENOG4107ZE9	6
ENOG41086VA	5
ENOG4106J8C	4
ENOG4106J8B	4
ENOG4106J8E	3
ENOG4106J8D	9
ENOG4106J8G	13
ENOG4106NXP	9
ENOG4107EG4	13
ENOG4107EG5	2
ENOG4107EG6	4
ENOG4106A0K	2
ENOG4107EG0	5
ENOG4107EG1	13
ENOG4107EG2	10
ENOG4107EG3	14
ENOG4106J8Q	11
ENOG4106J8P	4
ENOG4106J8S	6
ENOG4106J8R	4
ENOG4107EG8	2
ENOG4107EG9	3
ENOG4106J8W	3
ENOG4106J8V	5
ENOG4107ZEQ	1
ENOG4107EGE	5
ENOG4107EGF	2
ENOG4107EGG	12
ENOG4107ZEU	11
ENOG4107ZET	14
ENOG4107ZEW	8
ENOG4107EGC	11
ENOG4107ZEY	2
ENOG4107ZEX	6
ENOG4107EGN	5
ENOG4107ZEZ	8
ENOG4107EGH	4
ENOG4107EGI	3
ENOG4107EGJ	15
ENOG4107EGK	2
ENOG4107EGT	7
ENOG4106J88	1
ENOG4107EGV	4
ENOG4107EGW	2
ENOG4107EGP	2
ENOG4107ZED	3
ENOG4107ZEG	4
ENOG4107ZEF	13
ENOG4106J81	2
ENOG4107ZEH	3
ENOG4106J83	3
ENOG4107ZEJ	2
ENOG4106J85	4
ENOG4107EGY	5
ENOG4106J87	3
ENOG4106J86	2
ENOG41068XK	1
ENOG41068XJ	5
ENOG41068XI	1
ENOG41068XH	6
ENOG41068XN	2
ENOG41068XM	4
ENOG41068XC	1
ENOG41068XB	8
ENOG41068XA	3
ENOG41068XG	2
ENOG41068XF	3
ENOG41068XE	7
ENOG41068XD	10
ENOG41068XZ	3
ENOG41068XY	1
ENOG41068XX	4
ENOG41068XS	1
ENOG41068XR	1
ENOG41068XQ	9
ENOG41068XP	4
ENOG41068XW	3
ENOG41068XV	12
ENOG41068XU	6
ENOG41068XT	5
ENOG41086M0	2
ENOG41086M1	3
ENOG41086M2	2
ENOG41086M3	2
ENOG41086M5	2
ENOG41086M6	6
ENOG41086M7	15
ENOG41086M8	6
ENOG41086M9	4
ENOG41062DA	5
ENOG41062B5	6
ENOG41062B4	2
ENOG41062B3	1
ENOG41062B2	3
ENOG41062B1	6
ENOG41062B0	15
ENOG4107XP1	2
ENOG4108WU2	2
ENOG4108V5X	2
ENOG41062B9	2
ENOG41062B8	14
ENOG4106DFE	6
ENOG4107G0N	3
ENOG4107G0M	4
ENOG4106DFF	10
ENOG4106DFA	3
ENOG4107G0J	3
ENOG4106DFC	9
ENOG4106DFB	3
ENOG4107G0G	1
ENOG4107G0F	1
ENOG4107G0E	2
ENOG4106DFN	3
ENOG4106DFI	2
ENOG4107G0B	4
ENOG4106DFK	8
ENOG41068X6	2
ENOG4105W05	7
ENOG4105W04	14
ENOG4106DFW	9
ENOG4105W06	14
ENOG4105W01	15
ENOG4105W00	13
ENOG4108TR5	8
ENOG4107G0X	4
ENOG4107G0W	2
ENOG4107G0V	4
ENOG4107G0U	4
ENOG4107G0T	8
ENOG4106DFY	1
ENOG4107G0R	13
ENOG4107G0Q	3
ENOG4107G0P	8
ENOG4108TRC	13
ENOG4105W0D	13
ENOG4108TRA	2
ENOG4105W0F	9
ENOG4108TRG	3
ENOG4108TRF	4
ENOG4105W0C	4
ENOG4105W0B	9
ENOG4108TRK	15
ENOG4108TRI	1
ENOG4108TRH	2
ENOG4105W0I	7
ENOG4106J8K	2
ENOG4108TRM	14
ENOG4105W0J	3
ENOG4106DF5	3
ENOG4108TRR	9
ENOG4105W0W	4
ENOG4105W0V	6
ENOG4105W0Q	10
ENOG4106DF0	8
ENOG4105W0S	1
ENOG4105W0R	15
ENOG4107G07	3
ENOG4108TRZ	2
ENOG4108TRY	4
ENOG4107G04	4
ENOG4105W0Y	7
ENOG4105W0X	15
ENOG4107G01	3
ENOG4105W0Z	8
ENOG41062BG	6
ENOG41062BF	4
ENOG41062BE	1
ENOG41062BD	2
ENOG41062BC	2
ENOG41062BB	3
ENOG41086MV	11
ENOG41086MW	10
ENOG41086MX	2
ENOG41086MY	1
ENOG41086MZ	6
ENOG4106J8N	5
ENOG41062BK	4
ENOG41062BJ	13
ENOG41062BI	13
ENOG41062BH	12
ENOG41062BW	4
ENOG41062BV	8
ENOG41086MB	1
ENOG41062BT	3
ENOG41086MD	11
ENOG41062BR	3
ENOG41062BQ	14
ENOG41086MG	6
ENOG41086MH	4
ENOG41086MI	2
ENOG41086MJ	2
ENOG41086MK	12
ENOG41062BZ	15
ENOG41086MN	4
ENOG41062BX	7
ENOG410869W	5
ENOG41065HB	3
ENOG4107XP5	3
ENOG4106J8F	2
ENOG4106J8Y	13
ENOG41073P9	9
ENOG41073P8	6
ENOG4106J8X	1
ENOG41073P3	2
ENOG41073P2	2
ENOG41073P1	2
ENOG41073P0	5
ENOG41073P7	1
ENOG41073P6	4
ENOG41073P4	10
ENOG4106CHQ	3
ENOG4107EG7	3
ENOG4106RDZ	4
ENOG41073PZ	2
ENOG41073PY	8
ENOG41073PX	3
ENOG41073PS	3
ENOG41073PR	11
ENOG41073PQ	10
ENOG41073PP	2
ENOG41073PW	2
ENOG41073PV	6
ENOG41073PU	4
ENOG41073PK	9
ENOG41073PJ	2
ENOG41073PI	3
ENOG41073PH	7
ENOG41073PN	3
ENOG41073PM	2
ENOG4106RBV	2
ENOG41073PB	3
ENOG41073PA	5
ENOG41073PG	6
ENOG41073PF	11
ENOG41073PE	13
ENOG41073PD	14
ENOG4108GD7	2
ENOG4105U7R	3
ENOG4106J8U	1
ENOG4106J8T	3
ENOG4107KSE	3
ENOG4106UUE	8
ENOG4106B7I	7
ENOG4106UUG	2
ENOG4106UUF	5
ENOG4106UUA	3
ENOG4106B7M	2
ENOG4106B7N	2
ENOG4106UUB	2
ENOG4106UUM	5
ENOG4106B7A	2
ENOG4106B7B	4
ENOG4106B7C	4
ENOG4106B7D	7
ENOG4106UUH	6
ENOG4106B7F	3
ENOG4106B7G	6
ENOG4106B7X	4
ENOG4106UUT	3
ENOG4106UUW	6
ENOG4106UUV	1
ENOG4106UUQ	3
ENOG4106UUP	3
ENOG4106UUS	1
ENOG4106UUR	5
ENOG4106B7P	3
ENOG4106B7Q	8
ENOG4106B7R	10
ENOG4106B7S	6
ENOG4106B7T	4
ENOG4106UUX	5
ENOG4106B7V	4
ENOG4106UUZ	3
ENOG4107EGB	9
ENOG4107CJA	2
ENOG4107ZEV	1
ENOG4106M3M	11
ENOG4107EGM	4
ENOG4107B5B	2
ENOG4107NGA	3
ENOG4106J89	3
ENOG4107EGU	1
ENOG4107AJD	3
ENOG4107ZEC	3
ENOG4106RBU	1
ENOG4106B78	2
ENOG4106UU4	2
ENOG4106UU7	13
ENOG4106UU6	2
ENOG4106UU1	3
ENOG4106UU0	1
ENOG4106UU3	2
ENOG4106UU2	5
ENOG4106B70	5
ENOG4106B71	3
ENOG4106B72	1
ENOG4106B73	3
ENOG4106UU9	1
ENOG4106B75	9
ENOG4106B76	5
ENOG4106B77	2
ENOG4106HN2	1
ENOG4107EGR	1
ENOG4107EGS	9
ENOG410869H	2
ENOG4107ZEI	1
ENOG4105PV8	2
ENOG4105PV9	3
ENOG4106J80	1
ENOG4105PV4	10
ENOG4105PV5	5
ENOG4105PV6	11
ENOG4105PV7	3
ENOG4105PV0	4
ENOG4105PV1	15
ENOG4105PV2	5
ENOG4105PV3	5
ENOG4105QUE	1
ENOG4107PWI	2
ENOG4106J82	3
ENOG4107UER	1
ENOG4107ZEM	2
ENOG4108NIS	3
ENOG4106J84	4
ENOG4107EGZ	3
ENOG4107ZEN	1
ENOG4107X76	1
ENOG4107UES	1
ENOG41062DV	1
ENOG4107JQN	1
ENOG41081EC	5
ENOG4105QUG	2
ENOG41061FK	1
ENOG4105PVM	3
ENOG4105PVN	12
ENOG4105PVH	1
ENOG4108DGZ	4
ENOG4105PVJ	2
ENOG4105PVK	8
ENOG4105PVD	4
ENOG4105PVE	11
ENOG4105PVF	5
ENOG4105PVA	4
ENOG4105PVB	3
ENOG4105PVC	4
ENOG4105PVX	4
ENOG4105PVY	4
ENOG4105PVZ	1
ENOG4105PVT	2
ENOG4105PVU	4
ENOG4105PVV	4
ENOG4105PVW	2
ENOG4105PVP	10
ENOG4105PVQ	5
ENOG4105PVR	4
ENOG4105PVS	5
ENOG4105ZX8	1
ENOG4106TRQ	3
ENOG41081EK	5
ENOG4105ZX2	4
ENOG4105ZX3	12
ENOG4105ZX4	8
ENOG4105ZX6	12
ENOG4105ZX7	8
ENOG4108DGR	2
ENOG4107CJI	1
ENOG41081EH	2
ENOG4106SQ8	3
ENOG4105MGZ	2
ENOG4105MGX	4
ENOG4105MGY	6
ENOG4108BG9	2
ENOG4108DGM	5
ENOG4105MGR	4
ENOG4105MGP	5
ENOG4105MGQ	3
ENOG4105MGV	3
ENOG4108DGN	8
ENOG4105MGT	2
ENOG4105MGU	14
ENOG4105MGJ	12
ENOG4106194	4
ENOG4105MGH	7
ENOG4106196	6
ENOG4106191	4
ENOG4106190	1
ENOG4106193	7
ENOG4106192	3
ENOG4105MGB	8
ENOG4105MGC	8
ENOG4105MGA	7
ENOG4105MGF	8
ENOG4106198	3
ENOG4105MGD	11
ENOG4105MGE	4
ENOG410619E	3
ENOG4105NNJ	15
ENOG4105MG8	6
ENOG410619F	8
ENOG410619A	5
ENOG41081EQ	4
ENOG410619C	1
ENOG410619B	7
ENOG4105MG2	6
ENOG4105MG3	7
ENOG4105MG0	5
ENOG4105MG1	9
ENOG410619I	14
ENOG4105MG7	9
ENOG4105MG4	3
ENOG410619J	10
ENOG410619U	4
ENOG410619T	1
ENOG410619W	14
ENOG4105NNI	10
ENOG410619Q	14
ENOG4107CJK	3
ENOG410619S	6
ENOG410619R	1
ENOG4105NNN	4
ENOG410619Y	1
ENOG410619X	6
ENOG410619Z	5
ENOG4105ZXX	2
ENOG4105ZXY	10
ENOG4105ZXZ	4
ENOG4108DGG	5
ENOG4105ZXP	9
ENOG4105ZXQ	2
ENOG4105ZXR	3
ENOG4105ZXS	13
ENOG4105ZXT	2
ENOG4105ZXU	7
ENOG4105ZXW	13
ENOG4105ZXH	6
ENOG4105ZXI	2
ENOG4105ZXJ	3
ENOG4105ZXK	7
ENOG4105ZXM	3
ENOG4105ZXN	1
ENOG4105ZXA	4
ENOG4105ZXB	3
ENOG4105ZXC	9
ENOG4105ZXD	4
ENOG4105ZXE	3
ENOG4105ZXF	2
ENOG4105ZXG	5
ENOG410757S	1
ENOG4107J1N	5
ENOG4105NNF	2
ENOG4107J1H	4
ENOG410757K	2
ENOG41061FQ	2
ENOG4105NND	1
ENOG4107J1J	2
ENOG4108VI0	2
ENOG4105WUV	1
ENOG4105WUW	4
ENOG4105WUT	5
ENOG4105WUU	11
ENOG4108T7X	10
ENOG4105WUS	5
ENOG4108T7Z	3
ENOG4105WUQ	3
ENOG4108T7T	10
ENOG4108T7U	15
ENOG4108T7V	3
ENOG4108T7W	3
ENOG4108T7P	7
ENOG4108T7Q	2
ENOG4108T7R	5
ENOG4105WUY	12
ENOG4107ZX2	1
ENOG4105WUG	15
ENOG4107ZX0	13
ENOG4107ZX1	12
ENOG4105WUB	6
ENOG4107ZX7	3
ENOG4108T7J	12
ENOG4108T7K	7
ENOG4105WUN	5
ENOG4108T7E	5
ENOG4107ZX8	2
ENOG4105WUM	14
ENOG4105WUJ	4
ENOG4105WUK	4
ENOG4105WUH	5
ENOG4108T7C	3
ENOG4107ZXB	3
ENOG4105WU7	7
ENOG4105WU4	10
ENOG4107ZXA	11
ENOG4107ZXF	14
ENOG4108T79	2
ENOG4105WU0	5
ENOG4107ZXE	8
ENOG4108T74	1
ENOG4107ZXK	4
ENOG4108T76	6
ENOG4107ZXI	15
ENOG4107ZXN	5
ENOG4107CJW	5
ENOG4108T72	14
ENOG4105WU9	5
ENOG4107ZXR	3
ENOG4107ZXS	3
ENOG4107ZXP	3
ENOG4107ZXQ	2
ENOG4107ZXV	2
ENOG4107ZXW	1
ENOG4107ZXT	1
ENOG4107ZXU	9
ENOG4107ZXZ	2
ENOG4107ZXX	14
ENOG4107ZXY	7
ENOG4106E76	3
ENOG4106E75	2
ENOG41062B6	1
ENOG4105NNV	4
ENOG4107XPY	1
ENOG4105QUX	1
ENOG4107J1X	12
ENOG4107GMX	3
ENOG4107GMY	1
ENOG4106E78	4
ENOG4106YFP	7
ENOG4108EZ8	1
ENOG4108EZ9	2
ENOG4108EZ6	3
ENOG4107CJQ	3
ENOG4108EZ4	5
ENOG4107GMS	3
ENOG4108EZ2	1
ENOG4108EZ3	5
ENOG4108EZ0	2
ENOG4108EZ1	11
ENOG4107GMH	3
ENOG4107GMI	15
ENOG4107GMJ	2
ENOG4107GMK	1
ENOG4107GMM	4
ENOG4107GMN	3
ENOG41083SI	2
ENOG4107GMA	1
ENOG4107GMB	2
ENOG4107GMC	5
ENOG4107GMD	1
ENOG4107GME	1
ENOG4107GMF	2
ENOG4107GMG	8
ENOG4107GJY	1
ENOG4107PN8	7
ENOG4107PN9	3
ENOG4107PN6	1
ENOG4107PN7	3
ENOG4107PN4	4
ENOG4107PN5	3
ENOG4107PN2	6
ENOG4107PN3	10
ENOG4107PN0	4
ENOG4107PN1	5
ENOG4106T6V	1
ENOG4108ZXT	1
ENOG4108GEU	4
ENOG4108NI2	2
ENOG4107PNZ	1
ENOG4107PNX	2
ENOG4107PNY	6
ENOG4107PNV	4
ENOG4107PNW	4
ENOG4107PNT	14
ENOG4107PNR	4
ENOG4106DFG	1
ENOG4107PNP	2
ENOG4107PNQ	1
ENOG4107PNN	3
ENOG4107PNM	9
ENOG4107PNJ	3
ENOG4107PNK	4
ENOG4107PNH	4
ENOG4105U7G	3
ENOG4107PNF	7
ENOG4107PNG	2
ENOG4107PND	4
ENOG4107PNE	2
ENOG4107PNB	7
ENOG4107PNC	1
ENOG4107PNA	12
ENOG4107GM8	11
ENOG4107GM9	5
ENOG4107CJR	4
ENOG4108EZZ	5
ENOG4107G0I	1
ENOG4108EZX	4
ENOG4108EZY	11
ENOG4107GM0	4
ENOG4108EZW	3
ENOG4108EZT	5
ENOG4108EZU	1
ENOG4108EZR	14
ENOG4107GM5	3
ENOG4107GM6	1
ENOG4107GM7	10
ENOG4108EZN	4
ENOG4106DFM	1
ENOG4108EZM	1
ENOG4107Z6Q	1
ENOG4105U7D	14
ENOG4108EZH	14
ENOG4108EZI	2
ENOG4108EZF	3
ENOG4108EZG	5
ENOG4108EZD	6
ENOG4108EZE	2
ENOG4108EZB	3
ENOG4108EZC	2
ENOG4108EZA	2
ENOG4107W3E	4
ENOG4107G0D	7
ENOG41070T8	9
ENOG41070T9	1
ENOG4107HMY	1
ENOG4107HMX	4
ENOG41070T4	10
ENOG41070T5	5
ENOG4107HMU	15
ENOG4107HMT	6
ENOG41070T0	2
ENOG4107HMR	9
ENOG41070T2	3
ENOG4107HMP	4
ENOG4107HMN	9
ENOG4107HMM	4
ENOG4105U7E	1
ENOG4107HMK	2
ENOG4107HMJ	1
ENOG4107HMI	7
ENOG4106GWY	8
ENOG4107HMF	4
ENOG4107HME	7
ENOG4107HMD	3
ENOG4107HMC	4
ENOG4107HMB	2
ENOG4107HMA	3
ENOG4105QUV	1
ENOG4108TR3	10
ENOG4105S42	2
ENOG4108TR2	10
ENOG4107J19	2
ENOG4107NGE	5
ENOG4108TR1	2
ENOG4105NN7	3
ENOG4108TR0	4
ENOG4106DFQ	11
ENOG4105QUW	4
ENOG4108TR6	10
ENOG4107G0Y	10
ENOG4107T9X	3
ENOG4106DFR	8
ENOG4105ZCH	6
ENOG4105U7K	5
ENOG4108TR9	3
ENOG4105I7K	4
ENOG4108TR8	1
ENOG41070TX	2
ENOG41070TY	5
ENOG41070TZ	5
ENOG4107HM8	7
ENOG41070TT	3
ENOG4107G0S	3
ENOG41070TV	6
ENOG41070TW	1
ENOG41070TP	4
ENOG4107HM2	4
ENOG41070TR	14
ENOG4106DFX	5
ENOG41070TM	7
ENOG41070TN	1
ENOG41070TH	1
ENOG41070TI	3
ENOG41070TJ	5
ENOG41070TK	3
ENOG41070TD	2
ENOG41070TE	4
ENOG41070TF	4
ENOG41070TG	7
ENOG41070TA	3
ENOG41070TB	11
ENOG41070TC	7
ENOG4105W0E	6
ENOG4108TRB	3
ENOG4106GWU	2
ENOG41088FH	2
ENOG4107XPS	2
ENOG4108RJX	3
ENOG41067NZ	5
ENOG41062Q4	2
ENOG41067NX	6
ENOG41067NY	4
ENOG4108TRE	2
ENOG41067NR	3
ENOG41067NS	2
ENOG41067NP	2
ENOG41067NQ	4
ENOG41067NV	3
ENOG41067NW	1
ENOG41067NT	1
ENOG41067NJ	12
ENOG4105W0M	2
ENOG41067NH	1
ENOG4107458	4
ENOG41067NN	14
ENOG41067NM	8
ENOG41067NB	10
ENOG4107452	12
ENOG4107451	5
ENOG41067NA	6
ENOG4107457	5
ENOG4107456	5
ENOG41067ND	11
ENOG4107454	4
ENOG410745K	7
ENOG410745J	7
ENOG410745H	7
ENOG410745N	6
ENOG410745M	4
ENOG4105JID	1
ENOG41067N2	2
ENOG410745B	1
ENOG41067N0	1
ENOG41067N1	4
ENOG41067N6	5
ENOG41067N7	1
ENOG410745E	6
ENOG41067N5	2
ENOG410745Z	6
ENOG410745Y	1
ENOG410745X	5
ENOG4105W0K	6
ENOG410745S	6
ENOG410745R	6
ENOG410745Q	2
ENOG410745P	14
ENOG410745W	7
ENOG410745V	1
ENOG410745U	7
ENOG410745T	3
ENOG4105W0U	3
ENOG4105W0T	2
ENOG41089QI	1
ENOG4106GWV	4
ENOG4106DF7	2
ENOG4106DF6	3
ENOG4108HEX	2
ENOG4108TRW	11
ENOG4105W0P	13
ENOG4108TRU	5
ENOG4106GWQ	1
ENOG41080YY	3
ENOG4108TRT	3
ENOG4107XPW	4
ENOG4108RJE	7
ENOG4108HEY	6
ENOG41088FR	1
ENOG41060R2	1
ENOG4107J7B	3
ENOG41088FQ	3
ENOG4105REZ	1
ENOG4108TRX	5
ENOG4108RJA	2
ENOG4106DF8	5
ENOG4106J76	6
ENOG4106G58	3
ENOG4108RJB	6
ENOG41086MP	1
ENOG4106GWS	1
ENOG41086MQ	4
ENOG41086MR	1
ENOG41086MS	3
ENOG41086MT	2
ENOG4107CWY	1
ENOG41086MU	2
ENOG41062BA	5
ENOG4108DNF	2
ENOG4107XPJ	5
ENOG41062BN	2
ENOG41062BM	2
ENOG4107XPK	6
ENOG41089T9	5
ENOG4106GEW	3
ENOG4108NW2	1
ENOG4108NW3	5
ENOG4105M16	5
ENOG4107Z3S	2
ENOG4107Z3R	2
ENOG4107Z3Q	2
ENOG4105M17	6
ENOG4107Z3W	6
ENOG4107Z3V	1
ENOG4107Z3T	3
ENOG4107Z3Z	5
ENOG4107Z3Y	13
ENOG4107Z3X	2
ENOG4107J7A	6
ENOG4107Z3C	8
ENOG4107Z3B	9
ENOG4107Z3A	3
ENOG41086MC	1
ENOG4107Z3G	2
ENOG4108NW4	6
ENOG4107Z3E	2
ENOG4107Z3D	4
ENOG4107Z3K	12
ENOG4107Z3J	7
ENOG4107Z3I	5
ENOG4108NW5	5
ENOG4107Z3N	2
ENOG4107Z3M	7
ENOG41086ME	1
ENOG4107Z33	12
ENOG4107Z32	9
ENOG4107Z31	3
ENOG4107Z30	4
ENOG4107Z37	4
ENOG4107Z36	13
ENOG4107Z35	3
ENOG4107Z39	15
ENOG4107Z38	6
ENOG4108P4K	3
ENOG4106GWN	2
ENOG4107WQU	3
ENOG41086MM	6
ENOG4106IPP	2
ENOG4108UK5	4
ENOG4106TY4	7
ENOG4105F3C	2
ENOG4105F3B	1
ENOG4105F3E	6
ENOG4106TY1	2
ENOG4105BZJ	15
ENOG4105BZK	14
ENOG4105BZH	14
ENOG4105BZI	14
ENOG4105BZN	15
ENOG4105WNB	13
ENOG4105WNA	6
ENOG4105BZM	15
ENOG4105BZB	4
ENOG4105BZC	15
ENOG4105WNM	9
ENOG4105BZA	15
ENOG4105BZF	15
ENOG4105BZG	15
ENOG4105BZD	11
ENOG4105BZE	14
ENOG4105WNW	3
ENOG4105WNV	12
ENOG4105BZX	15
ENOG4105BZY	15
ENOG4105WNS	6
ENOG4105WNR	4
ENOG4105WNP	3
ENOG4105BZR	15
ENOG4105BZS	15
ENOG4105BZP	9
ENOG4105BZQ	14
ENOG4105BZV	15
ENOG4105BZW	15
ENOG4105BZT	15
ENOG4105WNX	15
ENOG4105F3M	7
ENOG4106714	4
ENOG4105WN7	6
ENOG4105WN6	3
ENOG4105BZ8	15
ENOG4105WN4	2
ENOG4105WN3	4
ENOG4105WN1	5
ENOG4105WN0	13
ENOG4105BZ2	11
ENOG4105BZ3	15
ENOG4105BZ1	15
ENOG4105BZ6	14
ENOG4105BZ7	13
ENOG4105BZ4	15
ENOG4105BZ5	15
ENOG4108XP9	12
ENOG41062Q3	4
ENOG4108XP8	2
ENOG4108XMA	3
ENOG4107JQW	2
ENOG4107HAK	3
ENOG4108JAZ	1
ENOG4108HEE	1
ENOG410882W	3
ENOG410882V	3
ENOG410882U	3
ENOG410882T	4
ENOG410882R	2
ENOG410882P	1
ENOG410882Z	4
ENOG410882Y	5
ENOG410882X	3
ENOG410882G	7
ENOG4105F3Y	3
ENOG410882E	14
ENOG410882D	1
ENOG410882C	1
ENOG410882B	1
ENOG410882A	2
ENOG4105F3X	4
