Sample Label,Species,GROUPS,Fresh (0) Spent (1) MEDIAblank (2) buffer blank (3),Spent media species,replicate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
356.R3.1,356,1,0,0,1,4673.068321,641182.0481,694852.1131,1121219.693,1547252.169,623189.4438,315914.956,1239599.816,200280.3173,318399.6984,146707.8951,29705.91774,271659.3732,384253.225,600708.9478,196410.3202,308311.0967,239606.5385,322969.0623,43152.99453,360618.9661,329606.794,80283.59925,188154.6774,43532.98267,158261.8101,756213.0756,50876.01141,40204.19609,68578.03297,106548.1583,58558.31266,126577.0128,128019.1577,96082.34666,49534.6971,215392.5862,44826.13065,607162.4302,358444.351,2741572.238,8885.080386,3785.382216,4174.211162,158.6693581,6222.006458,4986.174267,19840.39422,3082.33505,1887.399623,2179.921259,3970.730705,405.4102622,2359.673376,6686.327854,4572.415031,543.8930673,4476.586839,2587.107269,-5.388193693,-5.508450345,105311.1009,101352.619,33880.77901,103465.4294,86895.32957,290950.7688,9257.388175,8045.284216,12120.66103,8994.093944,17369.77476,14428.27284,8444.414204,11029.03882,3867.127384,4965.896768,6242.851956,5097.390093,7935.875016,2752.50073,7313.109154,1800.215235,4018.418284,261.2326577
356.R3.2,356,1,0,0,2,4600.112345,646161.461,701971.8985,1126915.308,1555972.258,625179.6555,319051.0961,1240009.387,200543.7491,319609.5033,147727.8995,29766.58891,273504.9745,387062.3038,601486.0903,196011.6078,310332.7331,239716.7703,324110.2636,43691.51543,365249.0336,331601.5758,80853.05194,189628.9626,43520.88233,159038.9272,760290.5579,50906.50872,40486.76347,68679.50103,103736.3596,59255.37412,127248.0835,128801.1858,96252.56477,50420.75802,216868.4932,45090.94607,611746.0424,363185.735,2767906.324,9346.281513,3641.668485,3880.079422,204.2971107,5058.875383,5176.667492,20547.49653,3260.228482,1883.899999,2249.123734,4261.059808,385.9717376,2506.146542,7192.607348,4751.066651,687.0014393,4597.113431,2482.305994,4.783989421,18.09280398,106443.1604,102142.9812,32865.81867,103976.807,88258.28572,292291.9447,9353.066805,7850.866114,12167.84252,8868.419,17594.14524,14707.75782,8479.287,10756.54487,3826.725754,5074.902321,6312.62527,5129.410839,8269.860042,2795.485196,7309.6595,1809.157867,3993.358482,249.224484
356.R3.3,356,1,0,0,3,4511.643139,623787.3525,672571.1043,1087795.217,1501366.215,599372.2841,311117.3564,1197193.209,191128.2238,311517.2371,140957.3376,28312.36453,264549.9231,370419.5983,577356.0608,188945.9637,298150.6405,230331.1514,311220.1204,41337.04614,348146.8332,318223.1669,77424.91391,182190.2962,42391.82077,152958.8417,729899.5535,49792.7605,39063.40355,65948.18575,88532.22186,56038.46655,122419.9207,124040.6609,92849.19518,46691.83726,207324.0909,41637.67987,586695.511,347977.8477,2844263.398,11844.22913,6408.40065,3649.909237,77.05963756,5678.647933,4923.882281,19416.84545,3092.811168,1769.096052,2156.547476,3903.76443,354.7601289,2489.785764,6508.185048,4458.384069,474.6057162,4354.689533,2503.809715,26.68282059,1.733720075,101456.1507,97305.1929,32654.59662,101518.1665,84335.24191,280878.7461,8789.662505,8581.770833,10463.09864,9463.522918,15571.42026,13092.73412,8025.559272,10441.99423,3905.959476,4637.726467,6141.067636,4811.18689,7698.412487,2677.865542,6992.078717,1660.609542,3946.400548,442.8288013
356.R3.4,356,1,0,0,4,4961.184847,679484.518,732648.5453,1188435.442,1644811.8,656892.4542,333819.1288,1321182.008,210243.6416,338917.4697,158077.6884,31573.91894,285092.9415,409022.5748,636544.5219,203400.4601,326041.9947,252713.3497,343292.0006,45434.37025,381376.2058,350128.2575,84964.85537,198220.0588,46031.83182,167580.1567,800116.1559,52829.78543,42337.4053,72560.79583,111730.2832,61067.99316,135178.9329,136906.9492,101261.3892,53654.68334,227960.8665,49427.8918,644528.9304,380299.425,2895862.009,9650.243882,7109.834632,3923.612734,129.9827185,6021.102543,5397.770434,21223.38499,3300.395855,1924.637021,2368.053509,4211.408588,438.5161287,2632.481812,7167.636614,5022.496924,546.2767021,4895.863069,2674.053205,-2.911964688,8.360405353,111892.5311,107768.6789,35639.85802,109764.2571,92233.25471,308426.5725,9622.23434,7522.100145,12838.14781,9068.770892,25458.85657,18172.16895,13563.01727,11804.28012,3811.121695,5429.845945,6292.328904,5643.231898,8570.735722,2898.847872,7898.172367,1807.332128,4397.942885,194.6266412
360.R3.1,360,2,0,0,1,3557.833226,380998.4737,448347.2376,457942.612,1897279.37,880753.9602,631428.1063,76737.57558,345064.2174,310075.6837,648822.3662,24736.25023,928317.958,192589.8327,320661.3735,116422.027,222896.8448,270738.91,63285.21054,39116.66851,295326.0907,304041.1795,88294.73901,181931.4445,39254.89976,153344.6076,761987.8725,47619.92804,51424.44258,163783.123,113945.25,165920.8261,239024.4495,240756.1664,152289.8332,83254.44094,210627.7996,67265.42888,490277.7746,419706.0472,2498847.142,20198.34074,86970.32927,3114.608636,1571.3343,-152.2866942,5554.610738,20531.43628,3391.040351,4020.587173,469.004543,1575.578531,189.4351681,3034.953082,1695.102855,3208.60336,2693.147423,3100.123697,-328.688255,-150.2492408,404.7224906,78752.88149,123558.8253,39616.68839,101199.943,74765.87923,306673.2093,9094.315094,6668.37029,39102.96836,13202.4102,10133.97337,5624.715611,24150.6053,3350.595252,1908.055368,18185.39233,5210.823576,1953.437505,2406.765869,4222.340333,7401.054738,4130.933896,3503.595993,157.860954
360.R3.2,360,2,0,0,2,3953.190439,422061.5418,494698.2963,505903.7801,2107008.077,965802.4733,700196.2868,90088.01199,383201.083,352612.5866,716542.6141,28367.62524,1018372.302,216703.8804,352800.118,128934.8198,246412.1512,295823.2238,70293.64138,44342.06172,325803.8566,335422.6547,97410.16209,201127.2103,43771.21002,170438.909,839281.412,53482.22266,56655.74194,181017.6462,133710.6377,184835.3809,264757.0878,267208.1396,171254.7586,88689.59472,229782.8614,66761.07801,541280.2315,464611.5101,2767292.784,22313.42731,95847.12952,3091.069008,1558.030342,-99.86811289,6153.08902,22804.15578,3752.123318,4451.16905,558.6070127,1740.201151,178.3646732,3405.530455,1920.015499,3689.245838,3005.667546,3601.631671,-238.6333545,-144.8091671,468.0064774,88220.49941,136911.2308,41621.70656,112320.9854,82164.8378,338881.0451,8301.971108,7435.380279,16758.03078,9023.796098,14293.21571,6341.885274,26953.78547,3692.318784,2338.188,20227.34325,6161.980427,2286.757153,2650.750634,4635.088627,8220.054838,4498.738795,4062.428356,221.5891209
360.R3.3,360,2,0,0,3,3872.652029,415589.2895,486640.2224,496700.844,2054409.227,944499.7724,685116.5162,84418.03002,372159.6187,337105.1329,704270.8403,26996.08103,1002924.972,211155.7363,347115.7615,126802.5082,241914.7854,291376.9871,69003.07398,42844.82108,321162.5585,330371.2303,95414.85677,197357.0557,43330.52274,167232.2623,826121.6749,52314.78876,55847.69055,177845.6654,112468.2839,181193.0188,260203.4156,262186.2814,166378.872,88708.47621,227356.3341,66921.97928,531533.5183,457088.12,2721799.003,21619.02921,94386.26183,3110.421244,1792.129457,-118.3543111,6103.236842,22626.32584,3738.677568,4402.475368,538.032048,1781.126544,194.3680121,3618.152291,1961.362377,3459.691297,2920.427524,3409.788296,-66.39751021,-25.67766542,490.5708013,86596.74991,134595.925,43812.92356,110059.073,81311.89645,332767.5285,9286.53468,6816.699649,9444.277512,21852.73898,11136.78436,6400.709569,26591.23344,3654.462171,2446.528844,19917.28412,6024.01964,2313.27202,2661.37162,4660.611633,8164.192522,4279.295885,4364.600407,281.3716248
360.R3.4,360,2,0,0,4,4651.217137,510994.7342,591205.1746,606910.5031,2485484.076,1129147.861,823382.6789,102337.8147,456026.3983,408089.2914,851586.0838,34626.29405,1203402.792,265606.6121,411800.292,153205.6989,293004.7245,348063.8309,85084.65102,54353.54613,401042.6363,398447.016,117039.8224,238147.4087,50803.26761,205352.6668,992478.2891,62389.33816,66799.24157,217000.2676,159646.2763,226747.7614,316015.5468,319528.0343,202018.5725,99034.45374,269055.901,83500.57609,647021.3224,559252.9265,3310491.697,25877.78375,114311.4627,4085.536448,2226.516859,-304.2321541,7397.578082,27955.10458,4579.795615,5257.793834,674.6526206,1814.055872,191.1520195,3911.397318,2000.327715,4407.052156,3606.406481,4245.247825,-433.6498428,-121.4961631,547.0712203,107555.7708,163844.7153,51927.56724,133956.2832,98794.52213,402609.7366,9483.429553,9212.783092,17073.52456,12696.55651,17107.56173,8942.429716,31509.41222,4713.337242,4120.878099,23045.72553,8640.961069,2973.864565,3354.686009,5470.295087,10037.74331,5295.930148,4907.744286,118.3848381
361.R3.1,361,3,0,0,1,3779.543888,397570.9745,494061.5531,521186.8278,1854179.762,809674.1945,537115.7668,83711.50046,211871.7185,325849.6042,1091440.746,31928.41438,802712.2381,233529.5828,383732.2586,112632.3792,220092.1013,238517.3786,65412.50039,38754.42033,311169.1086,297237.2282,80246.49666,180486.5268,38646.58998,154293.5178,725605.4009,50608.95889,48528.7211,63779.48628,88321.05652,134596.316,190055.3218,191866.8949,132131.3703,65608.98694,199152.0164,109315.371,549212.0993,410238.9238,2580691.683,9278.924826,1305.582131,1207.782758,317.468135,327.3194738,9130.963652,12200.80351,2258.20805,1798.111208,2020.6949,1142.939314,384.313016,2035.513597,1237.358009,4447.269406,766.3247888,4305.721453,2308.113527,-2.290528691,-2.15719093,94277.28614,105980.386,32886.63094,95145.99636,83528.44784,285189.0873,8272.059273,6803.863014,9806.751331,8140.688211,17239.75543,12185.79141,20560.83318,3934.95995,2398.848727,16159.40687,5971.31563,4770.231921,2977.33896,2688.646244,27026.65026,2154.945142,4140.759614,432.9395207
361.R3.2,361,3,0,0,2,3691.607654,398381.9685,490493.5962,518601.5227,1828537.59,773251.4601,528232.6205,79386.36699,202548.1801,317066.937,1074892.248,27393.37011,789123.2847,226707.9674,378130.7002,111183.0824,216164.3415,234241.5973,63944.99041,37332.14865,302015.2013,291401.0905,79125.37589,176438.8365,38205.0934,151743.7146,712660.0048,51375.90256,47893.76802,63419.38434,90622.7291,132311.098,188128.3405,190062.9101,129599.3039,64262.30174,195044.6051,107596.2789,536926.5737,404799.4023,2544493.895,9134.811596,1476.380518,1250.221161,240.9625972,266.4022663,9187.210457,11848.43468,2127.089518,1695.270386,2034.966445,1059.860306,349.2571509,1711.79886,1197.972377,4279.664623,653.7867492,4159.06899,2436.548163,-42.66008951,-5.249788517,93239.43875,103818.1628,33322.12515,95966.90339,81935.3198,279029.4666,8285.914246,7295.427888,9693.838596,8308.847379,15636.6108,10276.70646,20061.95363,3778.289737,2312.983861,15865.51258,5747.604127,4801.229839,3079.050437,2599.033823,27081.07698,1974.463102,3904.202647,764.9798397
