Sample Label,Species,GROUPS,Fresh (0) Spent (1) MEDIAblank (2) buffer blank (3),Spent media species,replicate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
519.356.3,519,7,1,356,2,8289.195114,1236221.75,1310748.057,2761242.8,2543055.381,1114160.821,631514.9902,3475742.436,624633.1754,443909.3045,286439.7868,56597.95077,727073.2828,745262.1058,1537087.355,482067.8835,692864.1975,520557.6316,850110.8356,217172.3713,737422.8735,858373.2283,170674.6597,309210.9034,85568.86873,246803.8561,1538956.478,100236.4214,46955.20604,148069.9322,260902.1173,101101.8962,233844.6047,236553.1767,156857.4017,90976.39106,379240.7372,95035.20567,1121508.307,690129.9673,4208.924028,15354.65256,1627.835668,2440.901601,1206.368768,6089.543933,10979.341,47522.2369,7286.698459,3671.077816,4071.313217,6705.374808,869.4121337,10562.92864,10949.95145,8267.502533,1137.032524,7926.734016,4818.484771,361.5484989,900.1800783,179749.6629,228278.8422,109885.29,196862.2127,160891.6436,608437.3652,17912.04463,12842.90469,25961.57147,14679.99763,37023.53586,26759.16558,28987.56584,21330.07539,6165.967778,9940.06122,13128.4385,8480.991809,15785.68735,5061.165867,30109.86374,3352.800993,9663.544466,2222.583028
361.519.r2.1,361,3,1,519R,1,5979.366597,584651.9334,567066.0759,1136737.546,3442419.605,2131058.63,1279998.521,2285640.317,616611.793,311422.9218,678169.8188,40101.84232,2314246.573,301136.9865,1910582.967,326686.5638,539214.0672,630281.2631,785564.6818,83122.40248,563128.2636,1058985.554,196714.945,163442.8666,64630.89464,121100.7543,1604202.321,164916.902,69358.07127,183516.0073,260728.8762,257271.1086,642258.8463,645487.9928,263319.2191,99673.4211,293790.9013,160847.355,836853.4688,610389.0149,1831.384501,13274.36491,1339.598428,1989.373536,1522.260136,3676.864435,19044.80148,39961.22148,5773.670567,2806.999766,3095.664316,1650.377753,772.6725963,5354.961671,2277.286846,4587.828293,752.3048602,4364.110956,2427.67748,808.9286705,1200.742199,104298.935,277666.228,114385.7647,157290.945,134209.2544,688619.5719,13727.41841,8670.690001,22563.43316,12501.00417,15345.49097,8262.559841,37426.33602,5501.641941,2501.628413,30271.85586,5387.52851,3684.065583,3206.028603,2223.134856,71170.40398,1639.348988,6889.509429,2665.427538
519.356.1,519,7,1,356,1,7748.850033,1199251.72,1278287.683,2681529.866,2478698.282,1080608.42,614314.3947,3382784.601,630142.0202,443983.5429,277512.5093,54800.25072,706364.2357,730398.8276,1502938.893,468268.6404,673764.7557,508421.2461,827552.3088,223886.8461,725633.7572,833362.3172,167172.115,302825.5751,81092.65311,241679.7435,1496792.026,98123.42902,45601.12976,143152.3955,262379.2993,98526.69003,226209.9348,228685.6326,152872.0252,88519.05398,370311.6989,91883.5502,1093843.89,672060.7054,4274.934143,15125.17682,1937.315757,2744.948648,1341.066357,4902.602551,10712.21303,47407.71996,7560.384662,3518.673826,3904.543239,6908.55761,876.853776,11262.23874,11234.16962,7984.027623,1108.942227,7635.425496,4759.572056,160.829484,1076.40751,175559.5445,221749.7401,107258.1546,191959.8243,158026.8014,593802.381,17576.17012,12486.00086,24600.56898,14574.9612,35806.90943,26740.7609,28222.98461,20120.54754,6344.028988,9321.279608,13073.74098,8156.143945,16033.7652,4908.143823,29710.93475,3856.454724,9464.868617,2811.8697
356.361.4,356,1,1,361,4,3973.47395,486841.7629,603860.5371,646125.5264,2232998.113,962747.2378,609939.2697,112361.9155,79325.15322,262630.8459,1347552.273,36018.61876,931545.6339,294212.8712,451843.4629,134964.7391,263994.2834,281567.0041,80924.3346,44362.67254,374989.9666,363785.2878,94928.43418,221159.8156,49274.74399,192260.0864,870263.7003,57993.34786,58393.17227,83259.56324,70576.12987,129357.9466,218175.1085,225864.4753,152294.3282,81011.83765,242331.8965,143659.3415,713009.7374,517537.5333,3759.157923,12037.51561,1493.74847,1870.289533,776.7986402,1282.819119,11488.72963,15775.70886,2833.823904,2256.139354,2692.855497,1512.12942,531.6979403,3032.852146,1845.900426,5770.275565,838.1021519,5421.51292,3522.447195,108.1005944,50.4415466,120817.7236,126906.5923,60996.08035,117868.5356,100176.444,343552.3977,10703.91669,8054.08074,12449.52493,9296.664239,50077.49637,7205.002463,24295.41105,7020.564186,4265.583798,26660.28681,8505.750888,6524.473453,4934.414445,3292.771734,29315.83773,2875.064323,6245.834196,1806.929861
356.519.2,356,1,1,519,2,7124.927548,1379160.479,1017562.63,2185761.79,2622158.77,1049861.338,423849.4652,5799252.176,91015.40105,278669.0811,188019.5733,40517.67001,552514.3801,724162.6666,1878134.671,457592.3365,647910.4667,606337.1861,1316984.558,107200.1337,727283.329,1061402.537,189930.1206,156239.9583,63335.18731,110604.2345,1544861.641,133737.507,43473.47297,179431.2389,266039.7737,88641.88191,302942.5257,304437.9356,108771.9163,97251.36655,282911.5449,151502.1793,794544.9221,430147.3368,1920.195289,7665.057474,1423.004273,2358.126688,814.9813143,3066.282312,8426.236081,39118.56852,6187.637149,3008.832734,3149.365484,1842.983466,748.8121386,6022.609655,2450.314614,5000.614909,795.1882724,4795.484783,2844.381192,591.5826805,1312.148954,95870.09191,267945.6613,109871.3887,145606.7008,128630.3119,663516.194,15224.18268,8757.765638,19750.7869,62523.37765,15131.82718,11588.11528,29053.0212,8954.253087,1932.122456,23056.01041,5118.427076,3273.002858,2226.649501,2524.062218,65462.47095,1427.8308,7106.273621,494.466472
502.361.2,502,6,1,361,2,3104.407524,356247.3049,451583.2179,480202.4146,1645955.07,709184.94,459050.6659,74605.96688,198928.4349,217184.5114,986957.7263,28243.16721,696561.4827,216269.8696,337492.9476,100586.3498,196487.9452,209572.5633,58078.0774,47041.54488,272008.0861,265564.3037,70990.39056,164104.4826,37246.88159,138863.0166,645002.6695,48979.34493,45513.02343,59107.33699,122363.2376,116689.9085,167448.7301,168769.5864,107831.9543,59443.84071,180849.2621,103002.98,510707.7839,372199.0992,3100.05005,9257.708247,1428.227718,1808.906856,863.9338263,877.658299,8610.523218,11702.98346,1960.176617,1745.650543,1992.167496,1067.249032,433.6853476,2496.308193,1297.849522,4608.992922,570.588567,4489.270889,2391.735821,34.56995451,42.23395813,86421.10563,90978.76478,43602.64137,86608.57614,74108.4335,253027.8419,7586.32759,6462.410886,8632.772303,7369.796246,15655.20429,10178.81861,17915.50324,3455.779982,2091.524645,14015.8324,5145.934031,4403.409301,3159.848547,2676.854271,21255.06138,1881.13084,4147.036559,1416.726624
360.502.R2.1,360,2,1,502R,1,3929.098236,432317.9326,543449.4736,575695.5465,1965385.323,848515.6859,549092.4527,92014.07684,350043.2911,238186.1511,397012.9209,32678.07654,840658.5609,264214.1887,526509.8604,122090.731,235906.6831,254032.6028,70208.78656,45171.79753,343631.53,707250.4252,85505.33401,192970.6514,45275.55148,162679.5247,780096.051,54893.19453,48950.65648,141182.9433,118032.5377,141122.8583,203668.3834,206064.1027,131877.2239,83844.29783,222156.6217,48450.92792,616558.117,454123.103,4936.240292,10782.48097,61121.97289,5330.030069,994.1736085,13521.57205,8735.935537,23806.96508,3096.26418,2146.278326,2475.075864,4110.826819,553.9299898,3695.442411,6508.3438,11776.5822,1151.89015,11461.41755,3439.314495,68.96547763,370.6438746,104461.4032,110943.3057,54756.73773,105573.4213,89591.96498,303882.5376,8857.038133,7298.492132,12573.08907,9015.931557,24039.5654,11760.61408,8170.987758,4481.525982,3191.748617,5356.369523,7319.603664,5669.400609,7474.030113,3154.75655,8021.458877,2385.986063,5027.098707,1494.777282
492.2,492,4,0,0,2,4206.329059,343107.9166,779933.6241,569888.5681,1610282.969,713247.7336,459192.2094,69461.58013,109815.1752,236985.6314,275616.2751,18139.13055,728008.9561,509191.3308,231627.8089,102687.4019,193358.3054,212599.3476,57410.41851,36107.71918,290206.1081,293779.4905,70529.10394,157720.5876,37272.78264,132626.7472,630408.3546,44519.6402,39236.20824,57961.33863,122320.8905,109238.7393,172610.0377,173788.2051,111444.9802,40359.43256,178984.8336,33966.46906,502710.7342,336251.6775,4581.21844,7679.775773,1445.414317,1110.775653,177.2519322,1550.549427,10184.43496,11162.6763,3308.724723,3153.774695,725.3424224,466.3341241,379.5690365,5292.193363,725.6293114,1228.399909,226.6616076,1119.813746,153.7701205,32.00177697,173.8923338,78803.44692,91187.51942,45379.03563,83158.28013,64377.86868,246050.7688,8361.819489,5465.281844,12456.0236,16877.57671,9509.341581,4780.448849,22681.37353,2989.483688,1859.718601,18873.2856,4337.421686,2008.658896,4040.754132,1725.830648,4204.570901,1177.52069,2774.077806,2489.925703
502.360.4,502,6,1,360,4,3554.633458,409583.0214,486436.2066,498051.9797,2119505.108,964494.6717,715109.8028,89814.22421,248427.3741,249518.9855,724091.342,28594.7827,1022086.194,227059.358,377290.1977,129357.9445,244967.0838,304144.0423,71416.30617,60519.46519,326855.6047,344477.9594,100059.8954,203750.9601,45688.96776,172113.0786,845518.2135,55061.88817,60717.15488,181130.0284,124961.289,187476.6476,269440.5704,272663.1923,168894.8027,91200.96939,227993.3499,69388.78939,546588.2949,477177.9457,3145.836443,24573.21114,96406.24486,4467.625944,2575.494635,810.6792233,6902.394674,26406.78691,3963.786124,4052.264575,610.3429545,1386.954091,184.5357329,4063.709816,1542.727224,3969.458744,2696.050485,3779.375898,421.8309651,95.67354535,551.5840657,84845.27566,142717.7095,74735.60928,115331.349,81426.89944,348799.6592,8404.423099,8893.181348,17950.93201,10533.13287,18361.22169,6189.80101,27913.04206,4196.70104,2422.462595,21237.60258,6164.297187,2745.117796,2976.652907,3672.782273,9154.072188,4450.026486,5357.410712,1389.062521
360.2,360,2,0,0,2,3003.229321,318694.4781,369183.7124,374990.21,1638293.622,772970.262,556026.1264,59355.94754,104408.8508,206794.1578,577202.1352,19955.77313,822202.3998,158642.6607,280411.8305,100409.5762,191594.3687,241668.3688,53698.92402,34553.00856,250701.2155,257255.9149,78958.87611,163596.4602,34922.43982,140641.9604,670041.7364,40174.05173,44189.37328,143752.7447,160492.741,155055.347,221018.2697,221660.5723,130850.4829,69946.6393,182521.164,59302.60651,411425.2868,368192.685,2847.754097,18540.10476,75262.75732,3216.755499,1772.258767,564.8948447,5464.262039,19473.33049,3209.843336,3693.71958,626.4273757,1621.177923,193.1751443,3382.745105,1812.065777,2920.581095,1971.709077,2728.312496,299.3772196,144.7162952,552.1201381,63242.60375,111036.9651,57331.33162,89578.95619,63875.52253,271178.205,6718.439707,6389.807303,16742.22611,22117.45419,8041.423521,4650.045104,21266.54265,2733.918218,1574.992048,15789.35799,4877.7282,1917.111798,2116.966405,3581.519872,6755.368623,3149.476033,3751.471221,1156.03531
