	group_name	protein_count	species_count	functional_category	functional_description	metagenome_sample_count	asf_species
0	ENOG4107QRH	254	164	P	Arylsulfatase (Ec 3.1.6.1)	14	A519
1	ENOG4106EWJ	13	11	S	Major tail protein	6	A457
2	ENOG4106FN7	5	5	K	HTH_XRE	6	A502
3	ENOG4108B37	2	2	S		2	A457
4	ENOG4108099	213	205	S	Thioesterase	13	A492
5	ENOG4107M1G	3	3	V		6	A457
6	ENOG4107M13	23	23	S	tRNAHis guanylyltransferase family protein	13	A492
7	ENOG41081KE	18	17	S	Inherit from COG: Virulence-associated protein e	12	A492
8	ENOG4106WAG	2	2	G	Cellulase (glycosyl hydrolase family 5)	13	A361
9	ENOG4106WA6	2	2	S		8	A361
10	ENOG4107CWK	2	2	S		3	A457
11	ENOG4108Y99	11	11	S	Patatin-like phospholipase	4	A500
12	ENOG4106XTI	3	3	S		3	A492
13	ENOG4106XTM	5	5	S		10	A356
14	ENOG4105FIC	5	5	S	TonB family	6	A457
15	ENOG4105VBX	8	6	T	Domain-Containing protein	3	A500
16	ENOG4108MAW	87	85	P	Extracellular solute-binding protein family 3	6	A457
17	ENOG4108MAF	12	12	S		12	A519
18	ENOG4108MAC	37	31	K	Transcriptional regulator, ARAC family	13	A502
19	ENOG4108ZGT	51	51	S		11	A356
20	ENOG41080AN	4	4	S		14	A500
21	ENOG41080AX	149	147	S	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA (By similarity)	15	A519
22	ENOG41080AW	21	19	S	TQO small subunit DoxD	10	A519
23	ENOG4108T9D	26	25	S	SMC domain-containing protein	15	A492
24	ENOG4108T91	17	16	S		14	A492
25	ENOG4106Z60	8	8	S		7	A356
26	ENOG410884U	6	6	S		11	A356
27	ENOG410884A	3	3	K		10	A492
28	ENOG4108848	2	2	S		5	A457
29	ENOG4108843	5	5	S	Protein of unknown function (DUF1090)	6	A492
30	ENOG4107THG	2	2	G	Melibiase	15	A519
31	ENOG4107THH	4	4	C	Inherit from COG: Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr) (By similarity)	14	A519
32	ENOG4107THK	87	76	E	solute symporter	9	A500
33	ENOG4107THS	17	16	E	amino acid	9	A492
34	ENOG4107TH2	29	29	F	purine nucleoside phosphorylase	12	A502
35	ENOG41083GG	5	5	O	Redoxin	7	A457
36	ENOG4108Z5R	10	9	S	integral membrane protein	2	A360
37	ENOG41061B0	13	10	S		9	A356
38	ENOG41061BS	15	15	I	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP (By similarity)	6	A360
39	ENOG41086B8	208	159	C	CoB-CoM heterodisulfide reductase	12	A502
40	ENOG41086B1	5	5	S	Bacterial protein of unknown function (DUF896)	6	A360
41	ENOG4107XSR	162	156	P	periplasmic solute binding protein	15	A519
42	ENOG4107XS6	5	5	M	NlpC/P60 family	13	A492
43	ENOG4108MVN	43	40	S	SEFIR domain protein	14	A492
44	ENOG4106JXP	2	2	T	HATPase_c	15	A519
45	ENOG4105IR8	16	9	S	Protein of unknown function (DUF2931)	5	A360
46	ENOG4105IRU	15	9	K	ParB domain protein nuclease	12	A492
47	ENOG4105WQJ	5	5	M	Inherit from NOG: YD repeat protein	11	A457
48	ENOG4105WQF	23	22	H	flavodoxin-like protein	6	A356
49	ENOG4105WQX	44	44	E	Branched-chain amino acid transport	7	A457
50	ENOG4105WQ0	21	21	S		7	A502
51	ENOG4108G9Y	3	3	E	ABC transporter	5	A360
52	ENOG4106KH1	6	5	S	Putative cell wall binding repeat	14	A500
53	ENOG4107DG9	2	2	S		2	A519
54	ENOG4107DG7	2	2	S		4	A502
55	ENOG4107PTP	6	5	DZ	Inherit from COG: regulator of chromosome condensation	7	A356
56	ENOG4108NAA	98	93	M	peptidase, S41	15	A519
57	ENOG4108NA5	60	46	L	Inherit from COG: DNA primase	15	A519
58	ENOG4105D2M	207	165	G	Aldolase	11	A361
59	ENOG4105D29	583	397	K	Helix-turn-helix type 11 domain protein	8	A519
60	ENOG4105D21	747	736	F	Phosphoribosylformylglycinamidine synthase I	14	A361
61	ENOG4105PWQ	101	91	S	Sporulation protein YtaF	10	A356
62	ENOG4106481	24	21	S	(LipO)protein	2	A519
63	ENOG41076P9	7	7	S		8	A502
64	ENOG41076PK	7	7	S	Protein of unknown function (DUF2874)	15	A519
65	ENOG41076PU	8	8	S		5	A361
66	ENOG4106E9R	8	8	S		11	A502
67	ENOG410692Z	14	14	S		8	A492
68	ENOG4107U29	4	4	S	Tetratricopeptide repeat	15	A519
69	ENOG4107U2V	193	192	S	methyltransferase, small	6	A500
70	ENOG4107U2I	4	4	I	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol (By similarity)	15	A492
71	ENOG4107U2M	19	17	S	glucose-inhibited division protein A	15	A519
72	ENOG4107WVT	11	10	G	solute-binding protein	13	A502
73	ENOG4107WVS	7	7	S	nitrilase cyanide hydratase and apolipoprotein n-acyltransferase	12	A356
74	ENOG4107A2Z	5	2	S		8	A356
75	ENOG410795Y	2	2	S		13	A492
76	ENOG4106BKG	12	9	S	Domain of Unknown Function (DUF1599)	10	A360
77	ENOG4108A36	2	2	S	Stage III sporulation protein AB (spore_III_AB)	5	A500
78	ENOG4108A3F	2	2	K	Prophage CP4-57 regulatory protein (AlpA)	9	A502
79	ENOG4107RYE	70	64	O	peptidase S8 and S53, subtilisin, kexin, sedolisin	14	A519
80	ENOG4107RYH	162	161	S	Permease, YjgP YjgQ family	15	A519
81	ENOG4107RYP	3	3	V	abc transporter atp-binding protein	14	A519
82	ENOG4107TIF	21	21	S	Phenazine biosynthesis protein, PhzF family	12	A356
83	ENOG41074AI	3	3	S		11	A492
84	ENOG41074AZ	2	2	S		6	A492
85	ENOG4105VUV	53	53	S	UPF0367 protein	4	A492
86	ENOG4105VUM	42	41	S	Death-On-Curing Family	3	A360
87	ENOG4105MAX	227	200	C	Superoxide reductase	13	A492
